Code;Actie;Actie oms.;BI;Beleidsitem oms.;AR;IE;Eerste omschrijving;U;2014;2015;2016;2017;2018;2019;;geen aanpassing;;;;;;;;
BP2014_2019-0/GBB-CBS/0050-00/6131010/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;6131010;IE-GEEN;Opmaak schattingsverslagen;U;€ 750.00;€ 1,250.00;€ 750.00;€ 750.00;€ 750.00;€ 750.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0050-00/6400000/BESTUUR/CBS/100/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;6400000;IE-GEEN;Onroerende voorheffing;U;€ 10,300.00;€ 10,454.50;€ 10,611.32;€ 10,770.49;€ 10,932.04;€ 11,096.03;;;;;;;;;;
BP2014_2019-0/1.2.5.1/0100-00/6150010/BESTUUR/CBS/600/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0100-00;Politieke organen;6150010;IE-GEEN;Kosten van opleiding en bijscholing;U;€ 2,500.00;€ 2,500.00;€ 2,500.00;€ 2,500.00;€ 2,500.00;€ 2,500.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0100-00/6200000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0100-00;Politieke organen;6200000;IE-GEEN;Bezoldiging burgemeester en schepenen;U;€ 191,150.00;€ 181,928.75;€ 186,826.97;€ 191,847.64;€ 196,993.83;€ 202,268.68;;14 hier afgehaald voor de index;;;;;;;;
BP2014_2019-0/GBB-CBS/0100-00/6200001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0100-00;Politieke organen;6200001;IE-GEEN;Presentiegelden;U;€ 32,000.00;€ 29,000.00;€ 29,000.00;€ 29,000.00;€ 29,000.00;€ 32,000.00;;?????? OK ????;;;;;;;;
BP2014_2019-0/GBB-CBS/0100-00/6200300/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0100-00;Politieke organen;6200300;IE-GEEN;Dienstverplaatsingen;U;€ 100.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00;€ 100.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0100-00/6206100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0100-00;Politieke organen;6206100;IE-GEEN;Vakantiegeld mandatarissen;U;€ 6,250.00;€ 6,900.00;€ 6,566.41;€ 6,730.57;€ 6,898.83;€ 7,071.30;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0100-00/6210000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0100-00;Politieke organen;6210000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - politiek personeel;U;€ 4,150.00;€ 4,253.75;€ 4,360.09;€ 4,469.10;€ 4,580.82;€ 4,695.34;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0100-00/6231005/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0100-00;Politieke organen;6231005;IE-GEEN;Verzekering arbeidsongevallen;U;€ 1,100.00;€ 1,572.00;€ 1,594.44;€ 1,617.33;€ 1,640.68;€ 1,664.49;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0100-00/6240000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0100-00;Politieke organen;6240000;IE-GEEN;Pensioenen politiek personeel;U;€ 95,400.00;€ 97,308.00;€ 99,254.16;€ 101,239.24;€ 103,264.03;€ 105,329.31;;;;;;;;;;
BP2014_2019-0/1.2.5.1/0110-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0110-00;Secretariaat;6150010;IE-GEEN;Opleidingskosten;U;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6141003/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6141003;IE-GEEN;Post- en frankeringskosten;U;€ 18,200.00;€ 18,200.00;€ 18,200.00;€ 18,200.00;€ 18,200.00;€ 18,200.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6141007/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);U;€ 10.00;€ 1.00;€ 1.00;€ 1.00;€ 1.00;€ 1.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6141800/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6141800;IE-GEEN;Onderhoudscontracten meubilair en bureaumateriaal;U;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;€ 1,500.00;;JBR aangepast in MJP :OK;;;;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6201000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;U;€ 38,430.00;€ 44,991.43;€ 46,116.22;€ 47,269.12;€ 48,450.85;€ 49,662.12;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6202000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6202000;IE-GEEN;Bezoldigingen gesubsidieerde contractuelen;U;€ 29,612.00;€ 30,702.30;€ 31,711.11;€ 32,488.89;€ 33,286.11;€ 34,103.26;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6211000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;U;€ 6,662.50;€ 6,829.06;€ 6,999.79;€ 7,174.78;€ 7,354.15;€ 7,538.01;;103%;102%;103%;103%;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6211001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;U;€ 6,812.50;€ 7,085.00;€ 7,368.40;€ 7,589.45;€ 7,817.14;€ 8,051.65;;104%;103%;103%;103%;;;139.5;137;1.0182481752
BP2014_2019-0/GBB-CBS/0110-00/6212000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6212000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - gesubsidieerde contractuelen;U;€ 1,452.00;€ 1,488.30;€ 1,525.51;€ 1,563.65;€ 1,602.74;€ 1,642.80;;103%;103%;102%;102%;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6221100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;U;€ 412.50;€ 420.75;€ 429.17;€ 437.75;€ 446.50;€ 455.43;;102%;102%;102%;102%;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6222000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6222000;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek. - 2de pijlerpensioen -gesubs.contract.;U;€ 638.00;€ 653.95;€ 670.30;€ 687.06;€ 704.23;€ 721.84;;103%;103%;102%;103%;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6222100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6222100;IE-GEEN;Werkgeversbijdragen voor bovenwet.verzek.-hospitalisatieverzek.-gesubs.contract.;U;€ 233.20;€ 237.86;€ 242.62;€ 247.47;€ 252.42;€ 257.47;;102%;102%;102%;102%;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6231001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6231001;IE-GEEN;Bijdragen aan de gemeentelijke sociale dienst;U;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;Lijn verwijdert uit MJP :  OK;;;;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6231004/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6231004;IE-GEEN;Maaltijdcheques;U;€ 2,700.00;€ 2,700.00;€ 27,000.00;€ 2,700.00;€ 2,700.00;€ 2,700.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0110-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;U;€ 94.00;€ 95.41;€ 96.84;€ 98.29;€ 99.77;€ 101.26;;;;;;;;;;
BP2014_2019-0/1.2.5.1/0111-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0111-00;Fiscale en financiële diensten;6150010;IE-GEEN;Opleidingskosten;U;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6131001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6131001;IE-GEEN;Erelonen en vergoedingen notarissen, deurwaarders, advocaten;U;€ 4,000.00;€ 3,500.00;€ 3,500.00;€ 3,500.00;€ 3,500.00;€ 3,500.00;;ok;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6141007/BESTUUR/CBS/400/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);U;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6141007/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6141007;IE-GEEN;Administratieve kosten (mtc, 2e pijler, lonen, pb â€¦);U;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6201000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;U;€ 102,600.00;€ 118,305.00;€ 120,934.13;€ 123,628.98;€ 126,391.20;€ 129,222.48;;€ 140,750.00;73%;11%;16%;18000;;;;
BP2014_2019-0/GBB-CBS/0111-00/6211000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;U;€ 15,200.00;€ 17,560.00;€ 17,949.50;€ 18,348.74;€ 18,757.96;€ 19,177.40;;periodieke verhogingen nog te bekijken;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6211001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;U;€ 22,950.00;€ 26,748.00;€ 27,702.72;€ 28,447.40;€ 29,214.42;€ 30,004.46;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6221100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;U;€ 451.00;€ 460.02;€ 469.22;€ 478.60;€ 488.18;€ 497.94;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6231004/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6231004;IE-GEEN;Maaltijdcheques;U;€ 2,700.00;€ 2,700.00;€ 2,700.00;€ 2,700.00;€ 2,700.00;€ 2,700.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;U;€ 94.00;€ 95.41;€ 96.84;€ 98.29;€ 99.77;€ 101.26;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0111-00/6599999/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;6599999;IE-GEEN;Overige diverse financiÃ«le kosten;U;€ 1,150.00;€ 1,080.00;€ 1,000.00;€ 920.00;€ 850.00;€ 770.00;;ok;;;;;;;;
BP2014_2019-0/1.2.5.1/0112-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0112-00;Personeelsdienst en vorming;6150010;IE-GEEN;Opleidingskosten;U;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;€ 150.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6130001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6130001;IE-GEEN;Vergoedingen prestaties arbeidsgeneeskundige dienst;U;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;;ok;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6131007/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6131007;IE-GEEN;Erelonen en vergoedingen voor selectie personeel;U;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;;ok;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6131999/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6131999;IE-GEEN;Andere erelonen en vergoedingen;U;€ 25,500.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;€ 0.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6201000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6201000;IE-GEEN;Bezoldigingen vastbenoemd personeel;U;€ 57,492.00;€ 58,929.30;€ 60,402.53;€ 61,912.60;€ 63,460.41;€ 65,046.92;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6211000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6211000;IE-GEEN;Werkgeversbijdragen wettelijke verzekeringen - vast benoemd personeel;U;€ 10,660.00;€ 10,926.50;€ 11,199.66;€ 11,479.65;€ 11,766.65;€ 12,060.81;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6211001/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6211001;IE-GEEN;Werkgeversbijdragen aan de omslagkas voor gem. pensioenen-vastbenoemd personeel;U;€ 10,900.00;€ 11,172.50;€ 11,451.81;€ 11,738.11;€ 12,031.56;€ 12,332.35;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6221100/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6221100;IE-GEEN;Werkgeversbijdragen voor bovenwett. verzekering - hosp.verzek.-vastbenoemd pers.;U;€ 275.00;€ 281.50;€ 286.11;€ 291.83;€ 297.67;€ 303.62;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6231000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6231000;IE-GEEN;Bijdragen aan arbeidsgeneeskundige dienst;U;€ 6,400.00;€ 6,464.00;€ 6,528.64;€ 6,593.93;€ 6,659.87;€ 6,726.46;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6231004/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6231004;IE-GEEN;Maaltijdcheques;U;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;€ 1,350.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0112-00/6496000/BESTUUR/CBS/500/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;6496000;IE-GEEN;Tussenkomst in de vakbondspremies;U;€ 47.00;€ 47.71;€ 48.42;€ 49.15;€ 49.88;€ 50.63;;;;;;;;;;
BP2014_2019-0/1.2.3.7/0113-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;1.2.3.7;Opmaken van een gemeente-archiefplan;0113-00;Archief;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;U;€ 2,000.00;€ 3,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;€ 2,000.00;;;;;;;;;;
BP2014_2019-0/1.2.3.7/0113-00/6141001/BESTUUR/CBS/600/IE-GEEN/U;1.2.3.7;Opmaken van een gemeente-archiefplan;0113-00;Archief;6141001;IE-GEEN;Kantoorbenodigdheden;U;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;;ok;;;;;;;;
BP2014_2019-0/1.1.1.3/0119-00/6143007/BESTUUR/CBS/600/IE-GEEN/U;1.1.1.3;Optimaliseren van het gemeentelijk infoblad;0119-00;Overige algemene diensten;6143007;IE-GEEN;Publiciteit, advertenties & info;U;€ 33,000.00;€ 25,000.00;€ 23,000.00;€ 23,000.00;€ 23,000.00;€ 23,000.00;;;;;;;;;;
BP2014_2019-0/1.1.1.4/0119-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;1.1.1.4;Ontwikkelen van een nieuwe huisstijl na verhuis naar het nieuw gemeentehuis;0119-00;Overige algemene diensten;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;U;€ 0.00;€ 10,000.00;;;;;;;;;;;;;;
BP2014_2019-0/1.2.5.1/0119-00/6150010/BESTUUR/CBS/500/IE-GEEN/U;1.2.5.1;Stimuleren van vorming en opleiding;0119-00;Overige algemene diensten;6150010;IE-GEEN;Opleidingskosten;U;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/1.2.5.3/0119-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;1.2.5.3;Opmaken en uitvoeren van een groeiloopbaan- en diversiteitsplan;0119-00;Overige algemene diensten;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;U;€ 8,584.95;€ 17,545.00;;;;;;;;;;;;;;
BP2014_2019-0/6.1.3.1/0119-00/6149000/BESTUUR/CBS/600/IE-GEEN/U;6.1.3.1;Ondernemen van preventieve acties inzake veiligheid (EHBO, inbraakpreventie,...);0119-00;Overige algemene diensten;6149000;IE-GEEN;Overige administratie- en kantoorkosten;U;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;€ 300.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6040000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6040000;IE-GEEN;Aankopen van roerende goederen bestemd voor verkoop;U;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6103001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6103001;IE-GEEN;Benodigdheden voor gebouwen;U;€ 1,800.00;€ 3,000.00;€ 3,800.00;€ 3,800.00;€ 3,800.00;€ 3,800.00;;ok;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6103010/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6103010;IE-GEEN;Prestaties van derden voor onderhoud en herstelling gebouwen;U;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;;ok;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6110000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6110000;IE-GEEN;Elektriciteit;U;€ 5,900.00;€ 5,988.50;€ 6,078.33;€ 6,169.50;€ 6,262.04;€ 6,355.98;;ok;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6111000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6111000;IE-GEEN;Gas;U;€ 4,300.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;€ 6,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6113000/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6113000;IE-GEEN;Water;U;€ 1,000.00;€ 1,015.00;€ 1,030.23;€ 1,045.68;€ 1,061.36;€ 1,077.28;;1,5% index;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6131001/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6131001;IE-GEEN;Erelonen en vergoedingen notarissen, deurwaarders, advocaten;U;€ 3,000.00;€ 5,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;€ 3,000.00;;jaar per jaar te evaluaeren;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6131002/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6131002;IE-GEEN;Erelonen en vergoedingen consultancy;U;€ 24,500.00;€ 26,000.00;€ 15,000.00;€ 8,000.00;€ 14,500.00;€ 8,000.00;;;;;;;;;;
BP2014_2019-0/GBB-CBS/0119-00/6131004/BESTUUR/CBS/600/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;6131004;IE-GEEN;Presentiegelden van commissies en jury's;U;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;€ 1,000.00;;OK;;;;;;;;
